"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"56",17.08700704,0.2,0.0325478453,5.232107908,0.8494702766,0.22,0.1258404844,45440,0.4701144553,0.303,0.4626129827,10.637732036,0.1883189817,0.1964486281,0.3896347008,0.0029416484,0.0603840188,0.490987859,1
"57",NA,0.2708333333,0.0273658083,6.3007894895,0.8789898464,0.197,0.1378013453,45144,0.6058435173,0.368,0.4493783304,9.3965020763,0.1904949415,0.158750833,0.3778397044,0.0068152905,0.0248076574,0.521051675,0.5617558848
"58",NA,0.53125,0.0245563351,5.6353948006,0.8201613936,0.203,0.1344999882,49433,0.4906551653,0.276,0.2835530581,9.5502296603,0.2088171182,0.2136660883,0.1827483429,0.0051603719,0.0310512033,0.5108768184,1
"59",31.442945346,0.1518987342,0.0260249705,5.3036483769,0.8519113073,0.202,0.13901765,45074,0.6387535906,0.305,0.3958745408,9.5364599298,0.2426265904,0.1552045086,0.4559473999,0.0067287166,0.0616685168,0.5237298267,0.4035111434
"60",34.798662266,0.2021276596,0.0219837491,3.7911739865,0.8728670397,0.182,0.14816503,70361,0.5885793057,0.172,0.2031999217,8.1942467762,0.2204467061,0.180694545,0.1070668143,0.0038857897,0.0265191841,0.5034386578,0.6711085255
"61",21.170153987,0.2123893805,0.0183190632,4.0174482272,0.9379283413,0.127,0.1684205586,98263,0.7688843291,0.078,0.1686307575,9.6958158148,0.221832562,0.1719401169,0.1430458684,0.0042543945,0.0612128718,0.5123785933,0.2396737571
"62",NA,0.3888888889,0.0352403742,5.0272208206,0.8880881153,0.23,0.1123022854,35152,0.5660858479,0.427,0.5900998697,9.865175929,0.1923563655,0.1977558424,0.6934953176,0.001940437,0.0152703957,0.5390196575,1
"63",12.423028983,0.2203389831,0.0308838898,5.5618206522,0.8321255618,0.213,0.134404161,55186,0.5170751106,0.26,0.3633713869,11.775673421,0.2037817209,0.1949097938,0.3237138184,0.0039527161,0.0253766852,0.5115359833,0.5867995959
"64",16.457789883,0.2571428571,0.0285340761,5.4592079522,0.818790811,0.205,0.1350626117,55270,0.4878076315,0.261,0.4006444683,13.16334739,0.1962320326,0.2378651439,0.2623178856,0.0039046294,0.025477707,0.5115552627,0.7840768802
"65",19.625417233,0.3277777778,0.0252919793,5.498604935,0.9064025528,0.174,0.1649752998,60875,0.6453446814,0.204,0.3167180541,9.6032280943,0.2005617028,0.1420432469,0.3249091984,0.0033659937,0.0414730974,0.5178900245,0.3109022358
"66",36.034718668,0.1981132075,0.027534418,5.2218095881,0.8266601886,0.214,0.1387768996,51065,0.5511225229,0.213,0.2827811804,13.885031936,0.2236124279,0.1994902003,0.0608961905,0.0056264474,0.0324220146,0.5124574519,0.7968534786
"67",NA,0.2941176471,0.036405179,8.8276927209,0.8826666667,0.228,0.131376958,53785,0.4857907054,0.256,0.2635220126,17.825311943,0.2141912445,0.2094960984,0.2274831372,0.0770400741,0.0183176828,0.5085967465,1
"68",NA,0.3157894737,0.0779272152,6.0746107266,0.7770547461,0.254,0.1059170997,33682,0.4244951712,0.456,0.6645728643,6.701129619,0.220797296,0.2236802863,0.6849587434,0.0024853365,0.0153096729,0.5340491102,1
"69",14.126488579,0.2142857143,0.0244377373,4.4765305194,0.800388281,0.226,0.1401782613,51149,0.452942342,0.252,0.2353187043,8.8787417555,0.2017680488,0.222058514,0.010818775,0.008924437,0.0344769522,0.500947169,1
"70",25.143756696,0.350140056,0.0403610946,4.1621441395,0.9347789845,0.172,0.1961050228,88072,0.650756971,0.134,0.207275799,11.287436551,0.2406312578,0.1385132971,0.0323794308,0.1570292659,0.0770124171,0.4738877537,0.3510051255
"71",NA,NA,0.0197206245,4.5405663799,0.8100934579,0.186,0.1571833446,85852,0.4790940767,0.143,0.2613908873,0,0.0570924073,0.0994702766,0.1021188935,0.1391995291,0.173631548,0.3016480283,1
"72",NA,NA,0.0307471264,2.5329335863,0.8953638954,0.155,0.1957386727,112218,0.5046620047,0.079,0.1045296167,0,0.096056228,0.0755564233,0.0814135103,0.0900039047,0.1575556423,0.2912924639,1
