"","premature_death_raw_value","poor_or_fair_health_raw_value","poor_physical_health_days_raw_value","poor_mental_health_days_raw_value","low_birthweight_raw_value","adult_smoking_raw_value","adult_obesity_raw_value","food_environment_index_raw_value","physical_inactivity_raw_value","access_to_exercise_opportunities_raw_value","excessive_drinking_raw_value","alcohol_impaired_driving_deaths_raw_value","sexually_transmitted_infections_raw_value","teen_births_raw_value","uninsured_raw_value","primary_care_physicians_raw_value","dentists_raw_value","mental_health_providers_raw_value","preventable_hospital_stays_raw_value","mammography_screening_raw_value","flu_vaccinations_raw_value","high_school_completion_raw_value","some_college_raw_value","unemployment_raw_value","children_in_poverty_raw_value","income_inequality_raw_value","children_in_single_parent_households_raw_value","social_associations_raw_value","injury_deaths_raw_value","air_pollution_particulate_matter_raw_value","drinking_water_violations_raw_value","severe_housing_problems_raw_value","driving_alone_to_work_raw_value","long_commute_driving_alone_raw_value","life_expectancy_raw_value","premature_age_adjusted_mortality_raw_value","child_mortality_raw_value","infant_mortality_raw_value","frequent_physical_distress_raw_value","frequent_mental_distress_raw_value","diabetes_prevalence_raw_value","hiv_prevalence_raw_value","food_insecurity_raw_value","limited_access_to_healthy_foods_raw_value","drug_overdose_deaths_raw_value","insufficient_sleep_raw_value","uninsured_adults_raw_value","uninsured_children_raw_value","other_primary_care_providers_raw_value","high_school_graduation_raw_value","disconnected_youth_raw_value","reading_scores_raw_value","math_scores_raw_value","school_segregation_raw_value","school_funding_adequacy_raw_value","gender_pay_gap_raw_value","median_household_income_raw_value","living_wage_raw_value","children_eligible_for_free_or_reduced_price_lunch_raw_value","residential_segregation_black_white_raw_value","child_care_cost_burden_raw_value","child_care_centers_raw_value","homicides_raw_value","suicides_raw_value","firearm_fatalities_raw_value","motor_vehicle_crash_deaths_raw_value","juvenile_arrests_raw_value","voter_turnout_raw_value","census_participation_raw_value","traffic_volume_raw_value","homeownership_raw_value","severe_housing_cost_burden_raw_value","broadband_access_raw_value","population_raw_value","x_below_18_years_of_age_raw_value","x_65_and_older_raw_value","x_non_hispanic_black_raw_value","x_american_indian_or_alaska_native_raw_value","x_asian_raw_value","x_native_hawaiian_or_other_pacific_islander_raw_value","x_hispanic_raw_value","x_non_hispanic_white_raw_value","x_not_proficient_in_english_raw_value","x_female_raw_value","x_rural_raw_value"
"22","11186.086932","0.167","4.0001597505","5.6443100683","0.0688876341","0.204","0.338","6.8","0.238","0.7183150408","0.2337204042","0.3846153846","797.3","40.197095436","0.1201303864","0.0006798937","0.000871297","0.0039208364","2236","0.41","0.28","0.9042765787","0.5591506572","0.0245382586","0.222","4.0751177163","0.2646536412","9.8893627542","86.764184722","4.9","0","0.127511592","0.7314915623","0.084","74.044887266","517.90122825","69.214416374","","0.121","0.181","0.097","","0.086","0.2140679944","","0.331","0.1380980508","0.084398977","0.001618123","0.6840540541","0.1199207136","2.937296374","2.949713288","0.3306152221","-8663.785167","0.7550235606","50518","","","","0.2975771012","3.6416605972","","20.251306501","","20.87955109","57.222222222","0.6101954121","0.561","40.623617912","0.6590543583","0.1008374637","0.8140881312","16068","0.2776325616","0.1613144137","0.0054767239","0.2467015185","0.0082773214","0.000622355","0.0404530744","0.6826611899","0.0005386843","0.4912870301","0.397510577"
"23","9031.3461996","0.114","3.2232724627","4.8444582925","0.0690161527","0.143","0.296","8.5","0.189","0.4988001655","0.2126127637","0.3666666667","192.5","9.0765588003","0.0950884909","0.0006415397","0.0004677998","0.0012474661","1112","0.45","0.44","0.9369158879","0.7043722423","0.0253350768","0.092","4.1298838724","0.1527377522","7.2173215718","111.40418421","5.1","1","0.1046119235","0.7347690042","0.278","75.857396181","402.9880082","","","0.094","0.151","0.068","83","0.057","0.1084976282","","0.298","0.1019949424","0.076142132","0.0003118665","0.8051282051","","3.248723062","3.238416444","0.0601559605","-1336.9725","0.784622877","83697","","","","0.2336403933","11.811023622","","46.836189195","27.851046053","13.012053894","","0.8625396825","0.618","10.539102661","0.831019013","0.0916271722","0.8904080325","12826","0.2002962732","0.2332761578","0.0049898643","0.0199594574","0.0060813972","0.0010915328","0.0326680181","0.912053641","0.0020460358","0.4900202713","1"
"24","6576.0171056","0.139","3.4824581552","4.8334064542","","0.172","0.332","6.5","0.223","0.1186356896","0.1911395262","0.3333333333","","","0.1029207232","","0","","2444","0.52","0.54","0.9421487603","0.7084639498","0.0244648318","0.179","5.0586956522","0.3259109312","0","110.46394858","3.8","0","0.131147541","0.5571575695","0.401","80.829782016","308.70414558","","","0.108","0.163","0.081","","0.098","0.2216499104","","0.301","0.1078244275","0.0873786408","0","","","","","","1163.46675","0.7492971825","60677","","","","0.2552861875","","","","","","0","0.8727272727","0.407","3.1605491239","0.7683741648","0.1441326531","0.846325167","2105","0.1947743468","0.2788598575","0.0009501188","0.0109263658","0.0047505938","0","0.0280285036","0.9467933492","0.0010167768","0.4802850356","1"
"25","10949.068578","0.156","3.8268316899","5.2772772286","0.0814376706","0.194","0.347","8.4","0.232","0.6009507291","0.196507973","0.5416666667","536.9","25.263157895","0.1554777951","0.0007492274","0.0008218428","0.0025872827","2058","0.39","0.33","0.9229514141","0.588722806","0.0303177804","0.242","5.1983285406","0.3000845309","9.6775200574","120.77922078","7.9","0","0.1453243471","0.6997217499","0.25","76.144983874","456.8383272","89.471161527","","0.119","0.167","0.095","85","0.106","0.0191122257","25.674764915","0.327","0.1799165709","0.0962719611","0.0010653517","0.8715136054","0.0853568801","","","0.0922092956","-7152.216163","0.7690091515","57225","","","","0.2951681957","3.984063745","6.0971320029","38.89058094","27.272727273","24.388528012","27.352941176","0.7261847565","0.445","20.027112115","0.7194190871","0.1329952851","0.8199170124","32853","0.2169969257","0.239430189","0.0042614069","0.2366907132","0.0085228137","0.0014610538","0.0475146866","0.6545825343","0.0080793858","0.5058594345","0.8212886234"
"26","6958.1201339","0.117","3.2063508721","4.5608592752","0.07828333","0.133","0.305","9","0.192","0.7356459499","0.2166680089","0.3157894737","243.7","13.457996883","0.0852776808","0.0009415283","0.0008668328","0.0055802362","1741","0.48","0.49","0.9502980538","0.7705651931","0.0236915454","0.099","4.1445239438","0.223016819","20.076706866","87.840921813","8.7","1","0.108245614","0.6980859114","0.121","78.383150863","341.82820578","49.62406015","","0.096","0.147","0.072","61.9","0.068","0.0426664264","11.326952483","0.284","0.0949148505","0.0608619503","0.0016117673","0.8670928668","0.0593998775","","3.097061834","0.0342932005","-1444.056067","0.8388536376","72491","","","57.604720339","0.2861182768","8.822788001","3.7339982616","25.293948399","19.233143011","13.276438264","25.735294118","0.7888940737","0.687","77.259160997","0.7051946765","0.1059611566","0.870942175","73832","0.2097735399","0.2032181168","0.0045779608","0.0210748727","0.0089527576","0.0009074656","0.0394679814","0.9051766172","0.0011098779","0.5008803771","0.2619728629"
"27","","0.191","4.2819305441","5.2757147324","0.0650887574","0.228","0.375","6.2","0.283","0.4476773864","0.1891019625","1","0","","0.1921780175","0.0005138746","0.0010141988","","302","0.43","0.35","0.7659574468","0.485483871","0.023397762","0.247","4.9869067855","0.1882129278","25.69373073","","4.8","0","0.2432432432","0.4724091521","0.18","89.370615626","","","","0.138","0.188","0.098","0","0.126","0.1920860387","","0.321","0.1973929236","0.1793103448","0.0020283976","","","3.551639147","3.156287877","","","0.7893675527","53601","","","","0.2562079066","","","","","","","0.568503937","0.484","7.3090172446","0.6241234222","0.1480865225","0.6760168303","1972","0.2226166329","0.2373225152","0.0055780933","0.0106490872","0.002535497","0.0005070994","0.0126774848","0.9411764706","0.0027144408","0.5070993915","1"
"28","9151.9372556","0.167","4.0727279163","5.77481285","0.069846678","0.204","0.332","7.9","0.264","0.6273314021","0.1881560078","0.4","185.1","19.586799034","0.1342352446","0.0007308161","0.0006968641","0.0025551684","1710","0.35","0.19","0.9238906089","0.5212071778","0.047673883","0.243","4.7600838379","0.1896551724","15.590742996","105.91315122","11.6","1","0.1734338747","0.64","0.175","77.034566505","411.22269284","","","0.125","0.179","0.09","44.5","0.128","0.0271282305","","0.312","0.1466027629","0.0989814573","0.0013472706","0.8732620321","","3.276594204","3.373568395","0.0329639742","-5804.56192","0.7232155427","48432","","","","0.3366988768","4.4593088071","","30.662080254","28.976239484","25.290296475","26.666666667","0.7328134747","0.422","17.647093538","0.7578248142","0.1459227468","0.8418149066","21525","0.1765389082","0.2997444832","0.0044599303","0.0137514518","0.0051103368","0.0012078978","0.0367479675","0.9161904762","0.0049271303","0.497746806","0.7793871017"
"29","5704.6116154","0.128","3.3395216391","4.834653308","","0.164","0.333","8.8","0.216","0.1243493349","0.2110283485","0.4","","","0.1116504854","0","0","","1052","0.39","0.33","0.9694029851","0.7087087087","0.018404908","0.161","3.4860815504","0.0779661017","17.462165308","142.46705449","4.3","0","0.1280487805","0.6460176991","0.287","81.018173926","274.91101387","","","0.103","0.158","0.076","0","0.036","0.1278664836","","0.302","0.1197740113","0.0921409214","0.001170275","","","2.932281095","3.05325359","","-1269.642","0.7597454545","59086","","","","0.2507531395","","","","","","","0.7860627178","0.468","5.4989274627","0.8913043478","0.046113307","0.8388746803","1709","0.1919251024","0.2937390287","0.0058513751","0.0099473376","0.0040959626","0","0.0181392627","0.9414862493","0.0042194093","0.4827384435","1"
"30","5174.3178175","0.117","3.0440457917","4.4407350584","0.0752688172","0.144","0.308","8.5","0.198","0.2994317523","0.1997812254","0.3333333333","112.1","8.3523158694","0.13296","0.0005607267","0.0002158662","0.0005396654","1634","0.42","0.22","0.9638900878","0.6666666667","0.0221627818","0.129","3.2195860383","0.0413159908","12.33598744","85.216149612","3.9","0","0.1309041835","0.6241797072","0.414","80.49065812","240.20623214","","","0.096","0.147","0.07","88.1","0.065","0.0986164738","","0.284","0.1367644043","0.1206896552","0.0005396654","","","3.316074499","3.067402767","0.0896563819","633.506","0.7282985043","72487","","","","0.2461406873","3.0303030303","","17.052304899","","16.875358601","","0.8677120456","0.376","2.1240295609","0.7760606912","0.1071428571","0.8558583872","9265","0.1534808419","0.2983270372","0.0047490556","0.0085267134","0.0055045872","0.0007555316","0.0532110092","0.9095520777","0","0.4811656773","1"
"31","4205.2632079","0.129","3.3852633402","4.9181858835","0.0866141732","0.162","0.33","5","0.217","0.7768552154","0.1947705415","0.3333333333","203.7","","0.1469052946","0.0010183299","0","0.000993542","1292","0.25","0.13","0.9724832215","0.6418604651","0.0226377953","0.195","4.5743920668","0","0","","3.7","0","0.1039473684","0.6861966236","0.219","83.305922356","291.55591952","","","0.103","0.158","0.077","","0.077","0.4104686675","","0.315","0.156122449","0.1253263708","0.001490313","","","","2.973790602","","-605.4785","0.8350434998","53724","","","","0.2970367061","","","","","","","0.7762237762","0.308","","0.8537170264","0.1230569948","0.7757793765","2013","0.1818181818","0.3179334327","0.0044709389","0.0129160457","0.0044709389","0","0.0223546945","0.9443616493","0","0.476900149","1"
