"","premature_death_raw_value","poor_or_fair_health_raw_value","poor_physical_health_days_raw_value","poor_mental_health_days_raw_value","low_birthweight_raw_value","adult_smoking_raw_value","adult_obesity_raw_value","food_environment_index_raw_value","physical_inactivity_raw_value","access_to_exercise_opportunities_raw_value","excessive_drinking_raw_value","alcohol_impaired_driving_deaths_raw_value","sexually_transmitted_infections_raw_value","teen_births_raw_value","uninsured_raw_value","primary_care_physicians_raw_value","dentists_raw_value","mental_health_providers_raw_value","preventable_hospital_stays_raw_value","mammography_screening_raw_value","flu_vaccinations_raw_value","high_school_completion_raw_value","some_college_raw_value","unemployment_raw_value","children_in_poverty_raw_value","income_inequality_raw_value","children_in_single_parent_households_raw_value","social_associations_raw_value","injury_deaths_raw_value","air_pollution_particulate_matter_raw_value","drinking_water_violations_raw_value","severe_housing_problems_raw_value","driving_alone_to_work_raw_value","long_commute_driving_alone_raw_value","life_expectancy_raw_value","premature_age_adjusted_mortality_raw_value","child_mortality_raw_value","infant_mortality_raw_value","frequent_physical_distress_raw_value","frequent_mental_distress_raw_value","diabetes_prevalence_raw_value","hiv_prevalence_raw_value","food_insecurity_raw_value","limited_access_to_healthy_foods_raw_value","drug_overdose_deaths_raw_value","insufficient_sleep_raw_value","uninsured_adults_raw_value","uninsured_children_raw_value","other_primary_care_providers_raw_value","high_school_graduation_raw_value","disconnected_youth_raw_value","reading_scores_raw_value","math_scores_raw_value","school_segregation_raw_value","school_funding_adequacy_raw_value","gender_pay_gap_raw_value","median_household_income_raw_value","living_wage_raw_value","children_eligible_for_free_or_reduced_price_lunch_raw_value","residential_segregation_black_white_raw_value","child_care_cost_burden_raw_value","child_care_centers_raw_value","homicides_raw_value","suicides_raw_value","firearm_fatalities_raw_value","motor_vehicle_crash_deaths_raw_value","juvenile_arrests_raw_value","voter_turnout_raw_value","census_participation_raw_value","traffic_volume_raw_value","homeownership_raw_value","severe_housing_cost_burden_raw_value","broadband_access_raw_value","population_raw_value","x_below_18_years_of_age_raw_value","x_65_and_older_raw_value","x_non_hispanic_black_raw_value","x_american_indian_or_alaska_native_raw_value","x_asian_raw_value","x_native_hawaiian_or_other_pacific_islander_raw_value","x_hispanic_raw_value","x_non_hispanic_white_raw_value","x_not_proficient_in_english_raw_value","x_female_raw_value","x_rural_raw_value"
"65","7153.781258","0.151","3.547206368","5.0134647995","0.0737307226","0.162","0.378","8.1","0.218","0.7956123892","0.1702182102","0.1111111111","279.5","10.200178503","0.0626331397","0.0005624329","0.0006007174","0.0021969095","3614","0.41","0.48","0.9394040286","0.6766687079","0.0326694802","0.103","4.1781194258","0.1836248863","9.1251872385","76.498635208","8.3","0","0.1140357609","0.8262436474","0.433","77.454100269","372.64743337","41.8485084","3.859348199","0.105","0.16","0.098","115.9","0.093","0.0794516508","26.376422581","0.33","0.0710991102","0.0410655111","0.0009497056","0.9295430622","0.05327195","3.514487808","3.619763529","0.0725636121","645.31909571","0.6503405422","84352","","0.3359498235","53.285634908","0.2552755121","3.0789531559","2.7752338134","16.561868309","12.417848901","10.932739265","18.361581921","0.6672502892","0.771","49.864632373","0.7700345868","0.1029050026","0.8960482743","174791","0.211320949","0.183573525","0.0456602457","0.0039304083","0.0150293779","0.0004290839","0.1131866057","0.8089718578","0.0056852039","0.5042364881","0.2357936668"
"66","6685.8434735","0.144","3.5724104028","4.9364104804","0.0745052386","0.178","0.377","8.1","0.224","0.2600111014","0.1698418578","0.1538461538","207","13.897280967","0.0617098886","0.0003185221","0.0002393967","0.0001196984","4177","0.52","0.6","0.9373082715","0.6896377422","0.0235841856","0.114","4.2794891059","0.1449854651","10.351966874","66.166218994","8.8","1","0.0863899614","0.8545049872","0.347","79.009776455","343.75801787","","","0.107","0.164","0.092","65.9","0.088","0.0839329943","","0.354","0.0679914145","0.0467625899","0.0001994973","0.9149082569","","3.383016258","3.629926192","0.039742541","40.9761","0.6805376141","75907","","0.32224415","58.448263562","0.1909441817","5.1622418879","","18.380712445","17.329247832","12.363648625","11.923076923","0.6691607685","0.725","27.513785236","0.8070537381","0.0983905254","0.8843697809","25063","0.2153772493","0.2112277062","0.0105334557","0.0029525595","0.0059051191","0.0002393967","0.0137653114","0.9542752264","0","0.4965885967","0.7041075252"
"67","12778.505928","0.18","4.1228525259","5.5364512486","0.0843644544","0.22","0.404","8.1","0.279","0.4032283842","0.1614194188","0","210.7","21.24430956","0.0918629771","0.0003241754","0.0001601922","0.0004805767","3170","0.38","0.31","0.8808647654","0.5371428571","0.0258319404","0.179","4.0208622046","0.2287727104","20.26096118","120.80601775","8.5","0","0.0762463343","0.7445717217","0.372","72.498612987","579.64685426","116.64722546","","0.125","0.18","0.108","57.1","0.112","0.0356317659","43.149946063","0.355","0.1034531761","0.0626105412","0.0008810573","0.975","","3.129676685","3.367470227","0.0343859522","1845.52785","0.7398850898","60487","","0.4638720353","","0.2288590937","7.5757575758","","23.508251953","25.771950453","20.540441848","20","0.6035343035","0.629","27.824389057","0.7674661105","0.082260528","0.8515119917","12485","0.2177012415","0.2193031638","0.0089707649","0.0049659592","0.0082498999","0.0002402883","0.038205847","0.9282338807","0.0015195003","0.4953944734","1"
"68","8285.0680025","0.168","3.9050234309","5.4048472537","0.0709275136","0.202","0.362","8.4","0.265","0.6248706638","0.1768727078","0.1282051282","338","14.478381595","0.0826170914","0.0003245085","0.0004557519","0.0010187394","3300","0.41","0.47","0.908703003","0.5638321741","0.0308253427","0.127","3.8052657122","0.1655619994","12.709916439","73.598037386","9.1","0","0.0882783883","0.7950594121","0.424","76.442394007","432.17069036","42.572515184","","0.116","0.17","0.106","169.1","0.097","0.0353911953","19.638648861","0.343","0.0930930931","0.055399061","0.0007238412","0.937622549","0.0813264903","3.292289993","3.514014188","0.0438740474","-1909.806275","0.745530647","68301","","0.4582392777","67.060536747","0.2500256219","2.2284122563","","22.622431134","16.532892456","15.236586091","","0.562514828","0.658","41.159159996","0.7394988413","0.0495020068","0.8485660487","37301","0.1954907375","0.1751695665","0.0353073644","0.0038872952","0.0124393448","0.0005629876","0.0210986301","0.9127637329","0.0049086369","0.4720784966","0.72253989"
"69","11032.839345","0.177","4.1235243916","5.4625662162","0.0810947795","0.211","0.38","7.6","0.277","0.4326177455","0.1572322561","0.08","315.7","26.772525849","0.0896429871","0.0001640218","0.0002864509","0.0004501371","3652","0.45","0.38","0.8988737682","0.5940014631","0.0298353022","0.227","4.2444958034","0.2709768592","13.121745192","121.12245562","9.2","0","0.097007722","0.8320927165","0.334","74.109315381","518.75456349","61.835270838","","0.122","0.178","0.105","106.8","0.114","0.0785722974","55.978045684","0.341","0.1029231324","0.0572990127","0.0005729017","0.7118657565","","2.984161075","3.185020155","0.0934012402","-4250.4578","0.7221793835","56920","","0.5622744563","","0.2625966268","3.3046926636","","18.158154313","13.006438187","20.7768223","","0.5930886686","0.655","32.745812703","0.7632224512","0.0748952692","0.8160141301","24437","0.2233498384","0.2087408438","0.0080206245","0.0050742726","0.0042558416","0.000736588","0.0447681794","0.9261775177","0.0051968299","0.4993247944","0.6656599461"
"70","8811.232401","0.158","3.7524260072","5.146957033","0.0572487644","0.195","0.386","8.7","0.251","0.3179513709","0.1749887411","0.28","151.3","23.9699201","0.0840657241","0.0000343867","0.0001031389","0.0007563516","2769","0.5","0.51","0.9056135373","0.54060643","0.0303805317","0.131","4.2300180955","0.1662265258","15.474020838","93.125516391","8.9","0","0.1325033348","0.8335870468","0.42","75.657338341","449.98708097","40.565208573","8.1366965012","0.114","0.17","0.097","57.6","0.099","0.0081249762","31.449104865","0.326","0.0950934858","0.0590711379","0.0012376663","0.9591463415","","3.273696901","3.396361989","0.0580410095","-467.87592","0.7574749642","63571","","0.3929875822","","0.2326375234","1.1312217195","","19.315727781","16.104412609","16.469942355","6.25","0.6639218423","0.687","21.698846033","0.7717293504","0.100234192","0.8294043549","29087","0.2342971087","0.1898786399","0.0054319799","0.0038161378","0.0083542476","0.0001718981","0.0191494482","0.9529686802","0.0012847337","0.4987107643","0.8136575272"
"71","9342.8457363","0.178","4.0907494786","5.4007534578","0.0677200903","0.219","0.391","8","0.287","0.4831064947","0.1624089432","0.375","251.9","23.790213571","0.0944349506","0.0003598848","0.0004198405","0.0011995442","3635","0.5","0.42","0.8941762584","0.501320655","0.0246789503","0.141","3.9651052798","0.2048387097","16.194817658","102.15118375","8.9","0","0.0984962406","0.8482908893","0.368","75.44981886","474.7644033","72.917299629","","0.124","0.181","0.107","63.9","0.114","0.0443356246","22.043204681","0.363","0.1045081967","0.0694693668","0.0009596353","0.925","","3.205420826","3.424346892","0.0454971755","1085.753","0.7356585669","61653","","0.5733656174","","0.256516309","3.2362459547","","23.189484068","","19.737237302","17.777777778","0.6165565488","0.698","45.435283072","0.7118618842","0.1228123573","0.8069653222","16673","0.2216757632","0.1958855635","0.0098362622","0.0041984046","0.0039584958","0.0004198405","0.0190127751","0.9532777545","0.0034177215","0.5043483476","0.6138371538"
"72","9419.1929402","0.165","3.7657378969","5.5032934478","0.090844093","0.176","0.361","7.7","0.27","0.8274132321","0.1683009746","0.2206896552","732.1","21.171458999","0.0878239398","0.0009000338","0.000639156","0.0026668234","3187","0.44","0.53","0.9086819689","0.6622436671","0.0339876189","0.177","4.4601935219","0.2787348565","10.543253053","82.551611341","8.5","0","0.1315386089","0.7641647469","0.246","75.483516209","459.43089674","64.821928332","7.9790549807","0.113","0.17","0.111","259.7","0.11","0.0815871669","26.976586775","0.331","0.1003993852","0.0583191696","0.0011938259","0.8312240886","0.0487993343","2.914806753","2.992317518","0.1557428226","-1616.7132","0.7851532093","61028","","0.4671906762","52.104850263","0.3131021826","4.0009277514","8.6575104695","13.978384624","15.109893147","11.085836577","17.192982456","0.5827606261","0.681","103.91047753","0.6813596859","0.1194161917","0.8552007146","272234","0.2296149636","0.169324919","0.1318387858","0.0057413843","0.0282404108","0.0008595546","0.1019086521","0.7044564603","0.0113058247","0.5105607676","0.100193469"
"73","15484.040193","0.2","4.3065504744","5.6132042685","0.087602459","0.245","0.381","6.6","0.307","0.5872293307","0.1696823019","0.1666666667","307.9","37.77823157","0.0905833167","0.000369534","0.0002846917","0.0007727347","3648","0.37","0.41","0.8191395445","0.4475500926","0.0336887798","0.201","4.3923059718","0.2340543539","9.4436460686","141.11085134","8.7","0","0.1170097508","0.8173559194","0.321","69.507565798","738.7482685","59.503570214","","0.135","0.19","0.114","730.2","0.152","0.0984107605","65.263274828","0.39","0.102743447","0.0582386364","0.0008540752","0.8506129032","","3.01438468","3.193524602","0.0198592698","-2106.03765","0.7115183449","57837","","0.5609439834","","0.2771928005","5.0107372942","","16.381778147","15.864533583","26.907760198","16","0.5528548124","0.648","53.523757955","0.6996801816","0.0935008192","0.810069122","24588","0.2257198633","0.1713844152","0.0063852286","0.0038230031","0.0091508053","0.0007320644","0.0265983407","0.9447698064","0.0009974413","0.5076866764","0.6892224409"
"74","9429.474414","0.161","3.7382100584","5.0932429433","0.0717703349","0.193","0.4","8.2","0.27","0.5364776384","0.1638626341","0.1363636364","295.3","20.094057289","0.083601725","0.0003552477","0.0003778533","0.0011113334","4002","0.48","0.37","0.8912773874","0.5741998927","0.024789916","0.187","4.1640262552","0.1457425743","11.545549413","93.459197682","9.3","0","0.1145251397","0.8120792907","0.369","75.579420189","443.9915686","72.233132435","8.2938388626","0.113","0.169","0.101","84.2","0.1","0.0485645097","33.422708131","0.347","0.0944473664","0.0567611106","0.0011780134","0.9476503759","0.096163186","3.140231872","3.492620573","0.0865498118","886.18965","0.7754763443","66045","","0.4253137228","62.662149204","0.2717086835","4.342676668","","19.55157619","13.41519584","16.003636026","","0.5934689031","0.722","73.754018237","0.7262393257","0.1078105287","0.8517799712","44991","0.2215998755","0.1871929942","0.0149807739","0.0036896268","0.009290747","0.0014891867","0.0528550154","0.9069369429","0.010165725","0.4972327799","0.5259127733"
